schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,merge,random,5000,10000,2387967291,4187.662049513391,,,,,23547904,86286336,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,merge,clustered,5000,10000,3906208,2560027.5254159532,,,,,23547904,24092672,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,put,append,5000,5000,8786854625,569.031833731971,1572917,2291959,6392709,32409083,22278224,128404288,505000,505000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,put,random,5000,5000,14333467667,348.8339399900779,2620791,4571041,7970000,30858417,22278224,177549872,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,put,clustered,5000,5000,10692592541,467.6134418129045,2043833,2534209,5627375,17335625,22278224,141954080,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,batch,append,5000,5000,11542792,433170.7614587528,,,,,22278224,22628424,505000,505000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,batch,random,5000,5000,659455875,7582.008424748661,,,,,22278224,42688592,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,batch,clustered,5000,5000,23505917,212712.3991801724,,,,,22278224,22599584,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,diff,append,5000,5000,3594042,1391191.3105077792,,,,,22278224,22628424,505000,505000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,diff,random,5000,5000,334824708,14933.18706933659,,,,,22278224,42688592,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,diff,clustered,5000,5000,9251042,540479.6562376433,,,,,22278224,22599584,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,merge,append,5000,10000,56437666,177186.63277110006,,,,,22278224,23023944,510000,510000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,merge,random,5000,10000,2599832167,3846.4021358498717,,,,,22278224,82063440,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,merge,clustered,5000,10000,5366750,1863325.1036474588,,,,,22278224,23015704,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,put,append,10000,10000,6273122250,1594.102522073438,292667,894667,15006416,42704625,47177728,272408824,1010000,1010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,put,random,10000,10000,6536002958,1529.9870676710914,369833,717833,13425167,27582084,47177728,372719768,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,put,clustered,10000,10000,13039911125,766.8763923419762,448542,3586458,20710917,64420458,47177728,382292000,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,batch,append,10000,10000,87610083,114142.11307161985,,,,,47177728,48112808,1010000,1010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,batch,random,10000,10000,1175914375,8504.020541461618,,,,,47177728,136218064,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,batch,clustered,10000,10000,121145959,82545.05624904913,,,,,47177728,48162248,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,diff,append,10000,10000,9818625,1018472.5457994373,,,,,47177728,47677440,1010000,1010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,diff,random,10000,10000,530390375,18854.037462501088,,,,,47177728,90165248,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,diff,clustered,10000,10000,16312583,613023.7007836221,,,,,47177728,47677440,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,merge,append,10000,20000,18766083,1065752.5067964368,,,,,47177728,48181248,1020000,1020000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,merge,random,10000,20000,8612708875,2322.1497777608324,,,,,47177728,172195840,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,merge,clustered,10000,20000,5741042,3483688.152777841,,,,,47177728,48259072,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,put,append,10000,10000,16864196667,592.9722119268262,1523041,2178083,7607167,44269959,44539984,239242152,1010000,1010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,put,random,10000,10000,33896140334,295.01883994648676,2841125,6874250,13130041,48536417,44539984,351462400,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,put,clustered,10000,10000,28864843000,346.4422099922733,2428625,5408417,9436292,31428417,44539984,334615312,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,batch,append,10000,10000,21475333,465650.52099541365,,,,,44539984,45145624,1010000,1010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,batch,random,10000,10000,1749822875,5714.864140177617,,,,,44539984,85266512,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,batch,clustered,10000,10000,57251625,174667.53127094646,,,,,44539984,45149744,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,diff,append,10000,10000,12180916,820956.3221682179,,,,,44539984,45145624,1010000,1010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,diff,random,10000,10000,1259317584,7940.808678488206,,,,,44539984,85266512,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,diff,clustered,10000,10000,30996750,322614.4676458016,,,,,44539984,45149744,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,merge,append,10000,20000,49055125,407704.59763378446,,,,,44539984,45804824,1020000,1020000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,merge,random,10000,20000,10238923083,1953.3304272210637,,,,,44539984,163639376,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,merge,clustered,10000,20000,8220875,2432831.055088418,,,,,44539984,45825424,1000000,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,put,append,10000,10000,6091719125,1641.5727309160861,269875,1010542,15508167,40714250,94461952,292732840,2010000,2010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,put,random,10000,10000,8298275625,1205.0696375850978,463250,1162542,13723167,69427291,94461952,478822648,2000000,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,put,clustered,10000,10000,7502195584,1332.9431215212637,429042,1058667,13019916,38501000,94461952,528916632,2000000,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,batch,append,10000,10000,84257583,118683.67978226957,,,,,94461952,95429992,2010000,2010000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,batch,random,10000,10000,1968054458,5081.16020842346,,,,,94461952,244558920,2000000,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,batch,clustered,10000,10000,117564000,85060.05239699228,,,,,94461952,95397032,2000000,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,diff,append,10000,10000,10060459,993990.4332396763,,,,,94461952,94945280,2010000,2010000,true,
