profile,records,workload,runs,operations,original_total_ns,current_total_ns,latency_delta_pct,latency_class,original_min_ns,original_max_ns,current_min_ns,current_max_ns,original_ns_per_op,current_ns_per_op,original_ops_per_sec,current_ops_per_sec,original_peak_rss,current_peak_rss,rss_delta_pct,memory_regression,original_fixture_bytes,current_fixture_bytes,fixture_delta_pct,size_regression,original_nodes_read,current_nodes_read,original_nodes_written,current_nodes_written,original_bytes_read,current_bytes_read,original_bytes_written,current_bytes_written,io_regression,original_tree_bytes,current_tree_bytes,original_node_payload,current_node_payload,original_num_nodes,current_num_nodes,original_height,current_height,original_entries,current_entries
full,50000,clustered_batch_updates,5,500,6340166,6427083,1.371,noise-sensitive,5094500,14758708,5457584,17280792,12680.332,12854.166,78862.288,77795.790,16760832,15433728,-7.918,false,2408448,2420736,0.510,false,5,5,4,4,40289,49246,39304,39168,true,2071202,2079577,2110506,2118745,199,187,1,1,50000,50000
full,50000,clustered_conflict_resolved_merge,5,250,1504375,1038666,-30.957,material gain,1023084,2529083,916416,1744750,6017.500,4154.664,166181.969,240693.351,17072128,15450112,-9.501,false,2457600,2461696,0.167,false,12,9,0,0,117912,101949,0,0,false,2071202,2079577,2149810,2147543,199,187,1,1,50000,50000
full,50000,clustered_delete_diff,5,500,21692709,477334,-97.800,noise-sensitive,20416250,33484917,357042,683333,43385.418,954.668,23049.219,1047484.571,30588928,15204352,-50.295,false,2420736,2437120,0.677,false,202,6,0,0,2089870,57528,0,0,false,2050566,2058769,2089870,2097937,198,185,1,1,49500,49500
full,50000,clustered_disjoint_sparse_merge,5,500,938083,1442875,53.811,noise-sensitive,885333,2259792,1259792,2509375,1876.166,2885.750,533001.877,346530.365,16809984,15646720,-6.920,false,2445312,2461696,0.670,false,6,6,2,2,34419,52476,11473,17492,true,2071202,2079577,2133452,2153729,199,187,1,1,50000,50000
full,50000,clustered_reads_cold_manager,5,1000000,658946000,441096250,-33.060,material gain,636559792,757818667,421027250,514501791,658.946,441.096,1517575.036,2267078.897,15237120,14041088,-7.849,false,2400256,2408448,0.341,false,54,41,0,0,428763,426678,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,clustered_reads_warm_manager,5,1000000,654890000,424712500,-35.148,material gain,633333959,729184833,414688208,542547042,654.890,424.712,1526973.996,2354533.949,15106048,13991936,-7.375,false,2400256,2408448,0.341,false,0,0,0,0,0,0,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,clustered_sparse_diff,5,500,685250,652750,-4.743,noise-sensitive,667792,795542,471583,1458167,1370.500,1305.500,729660.708,765990.042,16351232,15106048,-7.615,false,2441216,2453504,0.503,false,8,8,0,0,78608,78336,0,0,false,2071202,2079577,2110506,2118745,199,187,1,1,50000,50000
full,50000,identical_diff,5,1,1541,1792,16.288,noise-sensitive,1250,2041,1541,2125,1541.000,1792.000,648929.267,558035.714,15597568,14401536,-7.668,false,2400256,2408448,0.341,false,0,0,0,0,0,0,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,random_batch_deletes,5,500,47012750,37680417,-19.851,noise-sensitive,42307667,70000500,35212709,67331792,94025.500,75360.834,10635.413,13269.492,33603584,27574272,-17.942,false,4501504,4550656,1.092,false,169,188,169,160,1915782,2086957,1895282,1906853,true,2050702,2058570,3966484,3986430,199,183,1,1,49500,49500
full,50000,random_batch_updates,5,500,45357083,37008458,-18.406,noise-sensitive,42753958,72226041,32108417,70030500,90714.166,74016.916,11023.637,13510.425,34324480,29884416,-12.936,false,4542464,4534272,-0.180,false,169,158,169,158,1915782,1902498,1915782,1902498,false,2071202,2079577,3986984,3982075,199,187,1,1,50000,50000
full,50000,random_conflict_resolved_merge,5,250,31190042,16615666,-46.728,material gain,29531584,32643625,15324250,17178042,124760.168,66462.664,8015.379,15046.041,37601280,34684928,-7.756,false,6053888,6221824,2.774,false,414,399,0,0,4975320,5173467,0,0,true,2071202,2079577,5388082,5528555,199,187,1,1,50000,50000
full,50000,random_delete_diff,5,500,20016084,15280958,-23.657,material gain,17846959,23334750,14164125,15805750,40032.168,30561.916,24979.911,32720.462,50020352,28852224,-42.319,false,4534272,4583424,1.084,false,368,324,0,0,3966484,3834713,0,0,false,2050702,2058570,3966484,3986430,199,183,1,1,49500,49500
full,50000,random_disjoint_sparse_merge,5,500,785583,716000,-8.857,noise-sensitive,746625,1305708,670500,804333,1571.166,1432.000,636469.985,698324.022,23199744,20267008,-12.641,false,4554752,4567040,0.270,false,6,6,2,2,49218,52845,16406,17615,true,2071202,2079577,4019796,4017305,199,187,1,1,50000,50000
full,50000,random_reads_cold_manager,5,1000000,701302792,506718833,-27.746,material gain,682556250,795265209,495760250,602484750,701.303,506.719,1425917.608,1973481.021,12582912,11763712,-6.510,false,2400256,2408448,0.341,false,199,187,0,0,2071202,2079577,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,random_reads_warm_manager,5,1000000,670778333,499212917,-25.577,material gain,645573250,748181708,485501208,556523375,670.778,499.213,1490805.458,2003153.296,12566528,11730944,-6.649,false,2400256,2408448,0.341,false,0,0,0,0,0,0,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,random_sparse_diff,5,500,21595458,11861083,-45.076,material gain,21049583,23712333,11391750,12274666,43190.916,23722.166,23153.017,42154.667,33849344,29982720,-11.423,false,4575232,4567040,-0.179,false,338,316,0,0,3831564,3804996,0,0,false,2071202,2079577,3986984,3982075,199,187,1,1,50000,50000
full,50000,right_edge_reads_cold_manager,5,1000000,659814708,445879416,-32.424,material gain,637365834,763563750,420181333,544235500,659.815,445.879,1515577.007,2242758.836,15155200,14024704,-7.459,false,2400256,2408448,0.341,false,40,36,0,0,428358,428374,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,right_edge_reads_warm_manager,5,1000000,631039542,428356875,-32.119,material gain,626126416,735460250,412999167,507425375,631.040,428.357,1584686.749,2334502.043,15253504,14008320,-8.163,false,2400256,2408448,0.341,false,0,0,0,0,0,0,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,shuffled_batch_build,5,50000,31145958,27177500,-12.741,noise-sensitive,26842125,37416125,26450500,36627584,622.919,543.550,1605344.745,1839757.152,32604160,31981568,-1.910,false,2367488,2375680,0.346,false,0,0,0,0,0,0,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,50000,sorted_stream_build,5,50000,29234834,27459000,-6.074,noise-sensitive,28516625,42869167,26540334,37837542,584.697,549.180,1710288.487,1820896.609,20480000,19890176,-2.880,false,2367488,2375680,0.346,false,0,0,0,0,0,0,0,0,false,2071202,2079577,2071202,2079577,199,187,1,1,50000,50000
full,100000,append_batch_upserts,5,1000,11439125,8767917,-23.352,material gain,10215291,24238500,8504583,14379375,11439.125,8767.917,87419.274,114052.175,27967488,25788416,-7.791,false,4780032,4763648,-0.343,false,3,3,9,5,24446,8001,66032,49375,false,4182715,4200803,4207161,4208804,387,378,2,2,101000,101000
full,100000,append_disjoint_sparse_merge,5,1000,3875833,2877417,-25.760,material gain,3608791,6882500,2590292,4206000,3875.833,2877.417,258009.053,347533.917,27983872,25804800,-7.787,false,4820992,4812800,-0.170,false,10,10,4,4,79092,45106,30194,29098,false,4182481,4200803,4243280,4243191,384,378,2,2,101000,101000
full,100000,append_sparse_diff,5,1000,1086750,700208,-35.569,noise-sensitive,956125,2111667,445417,957250,1086.750,700.208,920174.833,1428147.065,27295744,25444352,-6.783,false,4812800,4796416,-0.340,false,12,8,0,0,90478,57376,0,0,false,4182715,4200803,4207161,4208804,387,378,2,2,101000,101000
full,100000,clustered_batch_deletes,5,1000,8472875,11071333,30.668,noise-sensitive,7910666,18704459,10343500,18643083,8472.875,11071.333,118023.693,90323.360,27312128,25280512,-7.439,false,4747264,4734976,-0.259,false,6,10,4,3,78963,98359,37691,23984,true,4099857,4117806,4178820,4183413,379,372,2,2,99000,99000
full,100000,clustered_batch_updates,5,1000,13019916,12517875,-3.856,noise-sensitive,11909209,27741875,11561875,22855291,13019.916,12517.875,76805.411,79885.763,27803648,25985024,-6.541,false,4792320,4788224,-0.085,false,8,9,6,7,103293,73438,78963,65607,true,4141129,4159429,4220092,4225036,381,376,2,2,100000,100000
full,100000,clustered_conflict_resolved_merge,5,500,1548917,1265167,-18.319,material gain,1520375,4001709,1187958,1696250,3097.834,2530.334,322806.193,395204.744,28131328,25870336,-8.037,false,4833280,4833280,0.000,false,15,18,0,0,173613,157086,0,0,true,4141129,4159429,4256871,4264153,381,376,2,2,100000,100000
full,100000,clustered_delete_diff,5,1000,31219083,659542,-97.887,noise-sensitive,30265000,61495708,573209,914208,31219.083,659.542,32031.690,1516203.669,37371904,25149440,-32.705,false,4780032,4767744,-0.257,false,208,10,0,0,2183166,89591,0,0,false,4099857,4117806,4178820,4183413,379,372,2,2,99000,99000
full,100000,clustered_disjoint_sparse_merge,5,1000,2394084,2011167,-15.994,noise-sensitive,2062625,4966250,1595000,3826000,2394.084,2011.167,417696.288,497223.751,27607040,25935872,-6.053,false,4849664,4837376,-0.253,false,9,9,3,3,86913,63054,28971,21018,false,4141129,4159429,4278034,4267072,381,376,2,2,100000,100000
