implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,patch_generate,compare,300000,21916,0.073,13688629311.918,1d2c9504cff957cd,455045c6a9e6e6bb,1,1000000,1300000,0,true,1,933724160
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,patch_apply,compare,300000,4000,0.013,75000000000.000,1d2c9504cff957cd,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,933724160
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,merge_disjoint,disjoint,600000,196077083,326.795,3060021.043,a86da0e459bb4246,1c05b4e58c497604,1600000,1000000,1600000,0,true,1,933724160
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,merge_convergent,convergent,300000,292,0.001,1027397260273.973,1401bcf5186f3fcc,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,933724160
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,merge_conflict,conflict,300000,129645458,432.152,2314003.164,e898afd88a409e9c,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,1,933724160
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,full_diff,compare,300000,71963334,239.878,4168789.623,1d2c9504cff957cd,455045c6a9e6e6bb,300000,1000000,1300000,0,true,1,748224512
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,range_diff,compare,129999,27208583,209.298,4777867.337,1d2c9504cff957cd,5319ad9b0b1871fd,129999,1000000,1300000,0,true,1,748224512
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,patch_generate,compare,300000,11708,0.039,25623505295.524,1d2c9504cff957cd,455045c6a9e6e6bb,2,1000000,1300000,0,true,1,748224512
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,patch_apply,compare,300000,112750,0.376,2660753880.266,1d2c9504cff957cd,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,748224512
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,merge_disjoint,disjoint,600000,488625,0.814,1227935533.384,a86da0e459bb4246,1c05b4e58c497604,1600000,1000000,1600000,0,true,1,748224512
