suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
local-adapters,slatedb-sync,10000,merge,clustered,5,3,103150417.0,102283750.0,-0.840197281994507,1938.916058865763,1955.3448128368386,0.8473164114534267,103150417.0,102283750.0,-0.840197281994507,103150417.0,102283750.0,-0.840197281994507,-0.16831016970420265,-172375.0,0.16859393043463927,-0.16831016970420265,-172375.0,-0.16831016970420265,-172375.0
local-adapters,slatedb-sync,10000,merge,random,5,3,102948000.0,103423708.0,0.4620857131755838,1942.7283677196256,1933.7925884459682,-0.4599603023322367,102948000.0,103423708.0,0.4620857131755838,102948000.0,103423708.0,0.4620857131755838,0.1951365438438453,202541.0,-0.19475650273549264,0.1951365438438453,202541.0,0.1951365438438453,202541.0
local-adapters,slatedb-sync,10000,put,append,5,3,10269564875.0,10255004708.0,-0.14177978499795008,9.737510908903042,9.751336332589815,0.1419810854756813,102963708.0,102739417.0,-0.21783500648597465,103568083.0,103569584.0,0.0014492881943175486,-0.16700277186768342,-17150458.0,0.16728213767443514,-0.08894824941999337,-91626.0,0.02424761888024933,25084.0
local-adapters,slatedb-sync,10000,put,clustered,5,3,10256600250.0,10248051208.0,-0.08335161546341831,9.749819390689424,9.757952801986038,0.0834211483381999,102722875.0,102659792.0,-0.061410859071068635,103483333.0,103531750.0,0.04678724447346511,-0.020461122499769432,-2095667.0,0.020465309931895697,-0.07055195387932932,-72292.0,0.04586010019762226,47458.0
local-adapters,slatedb-sync,10000,put,random,5,3,10255870375.0,10253427875.0,-0.023815628617478504,9.750513251782396,9.752835950972152,0.02382130181025763,102779042.0,102673083.0,-0.10309397513162265,103525041.0,103567250.0,0.040771778105357134,-0.14508479003665253,-14879708.0,0.14529559184102037,-0.16462679208531578,-169459.0,0.03177985322802252,32875.0
local-adapters,slatedb-sync,10000,reopen,append,5,3,570209.0,572500.0,0.40178250430982326,1753.742925839473,1746.7248908296945,-0.40017467248907806,570209.0,572500.0,0.40178250430982326,570209.0,572500.0,0.40178250430982326,2.3509736523711386,12708.0,-2.296972435607774,2.3509736523711386,12708.0,2.3509736523711386,12708.0
local-adapters,slatedb-sync,10000,reopen,clustered,5,3,671209.0,654334.0,-2.5141200430864306,1489.8489144215885,1528.2714943744327,2.5789581467568614,671209.0,654334.0,-2.5141200430864306,671209.0,654334.0,-2.5141200430864306,-17.099662899068015,-107792.0,20.626771249734492,-17.099662899068015,-107792.0,-17.099662899068015,-107792.0
local-adapters,slatedb-sync,10000,reopen,random,5,3,604750.0,694667.0,14.868458040512609,1653.5758577924762,1439.5386566513164,-12.943899739011641,604750.0,694667.0,14.868458040512609,604750.0,694667.0,14.868458040512609,7.400638914270738,41792.0,-6.890684253915904,7.400638914270738,41792.0,7.400638914270738,41792.0
local-adapters,sqlite-sync,10000,batch,append,5,3,213375.0,198916.0,-6.776332747510253,468658.4651435267,502724.7682438819,7.2688974240382915,213375.0,198916.0,-6.776332747510253,213375.0,198916.0,-6.776332747510253,-7.92829525483304,-16917.0,8.611000824603735,-7.92829525483304,-16917.0,-7.92829525483304,-16917.0
local-adapters,sqlite-sync,10000,batch,clustered,5,3,222959.0,241750.0,8.428006942980549,448512.95529671374,413650.4653567735,-7.772905894519131,222959.0,241750.0,8.428006942980549,222959.0,241750.0,8.428006942980549,4.704964907720301,11041.0,-4.49354518371402,4.704964907720301,11041.0,4.704964907720301,11041.0
local-adapters,sqlite-sync,10000,batch,random,5,3,2540250.0,2496333.0,-1.7288455860643637,39366.20411376833,40058.75818650797,1.7592604832768612,2540250.0,2496333.0,-1.7288455860643637,2540250.0,2496333.0,-1.7288455860643637,-3.278889873043992,-83292.0,3.390045739487607,-3.278889873043992,-83292.0,-3.278889873043992,-83292.0
local-adapters,sqlite-sync,10000,build,append,5,3,4475792.0,4374250.0,-2.2686934513489456,2234241.448217433,2286106.1896325084,2.3213579470766357,4475792.0,4374250.0,-2.2686934513489456,4475792.0,4374250.0,-2.2686934513489456,-1.5164913829775826,-67875.0,1.5398429689125261,-1.5164913829775826,-67875.0,-1.5164913829775826,-67875.0
local-adapters,sqlite-sync,10000,build,clustered,5,3,4753916.0,4835750.0,1.721401892671221,2103528.9643317214,2067931.5514656466,-1.6922711058263897,4753916.0,4835750.0,1.721401892671221,4753916.0,4835750.0,1.721401892671221,-2.9195088848856394,-138791.0,3.0073074943798828,-2.9195088848856394,-138791.0,-2.9195088848856394,-138791.0
local-adapters,sqlite-sync,10000,build,random,5,3,5017292.0,4918875.0,-1.9615561541963273,1993107.038617645,2032985.1846204672,2.000803029147924,5017292.0,4918875.0,-1.9615561541963273,5017292.0,4918875.0,-1.9615561541963273,-1.236418134132634,-61875.0,1.2518968133535708,-1.236418134132634,-61875.0,-1.236418134132634,-61875.0
local-adapters,sqlite-sync,10000,diff,append,5,3,10459.0,11709.0,11.951429390955157,9561143.512764128,8540438.978563499,-10.675548723204379,10459.0,11709.0,11.951429390955157,10459.0,11709.0,11.951429390955157,11.514285714285714,1209.0,-10.325390725083269,11.514285714285714,1209.0,11.514285714285714,1209.0
local-adapters,sqlite-sync,10000,diff,clustered,5,3,13584.0,13958.0,2.753239104829211,7361601.884570082,7164350.193437455,-2.679466972345599,13584.0,13958.0,2.753239104829211,13584.0,13958.0,2.753239104829211,8.846773013317723,1209.0,-8.127731092436994,8.846773013317723,1209.0,8.846773013317723,1209.0
local-adapters,sqlite-sync,10000,diff,random,5,3,962334.0,927959.0,-3.572044633152315,103914.0256917037,107763.3817873419,3.7043662489398907,962334.0,927959.0,-3.572044633152315,962334.0,927959.0,-3.572044633152315,-3.572044633152315,-34375.0,3.7043662489398907,-3.572044633152315,-34375.0,-3.572044633152315,-34375.0
