suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
local-adapters,slatedb-sync,10000,put,random,5,3,-0.14508479003665253,-14879708.0,0.14529559184102037,-0.16462679208531578,-169459.0,0.03177985322802252,32875.0,pass,
local-adapters,slatedb-sync,10000,reopen,append,5,3,2.3509736523711386,12708.0,-2.296972435607774,2.3509736523711386,12708.0,2.3509736523711386,12708.0,pass,
local-adapters,slatedb-sync,10000,reopen,clustered,5,3,-17.099662899068015,-107792.0,20.626771249734492,-17.099662899068015,-107792.0,-17.099662899068015,-107792.0,pass,
local-adapters,slatedb-sync,10000,reopen,random,5,3,7.400638914270738,41792.0,-6.890684253915904,7.400638914270738,41792.0,7.400638914270738,41792.0,fail,median_latency_regression;median_throughput_regression
local-adapters,sqlite-sync,10000,batch,append,5,3,-7.92829525483304,-16917.0,8.611000824603735,-7.92829525483304,-16917.0,-7.92829525483304,-16917.0,pass,
local-adapters,sqlite-sync,10000,batch,clustered,5,3,4.704964907720301,11041.0,-4.49354518371402,4.704964907720301,11041.0,4.704964907720301,11041.0,pass,
local-adapters,sqlite-sync,10000,batch,random,5,3,-3.278889873043992,-83292.0,3.390045739487607,-3.278889873043992,-83292.0,-3.278889873043992,-83292.0,pass,
local-adapters,sqlite-sync,10000,build,append,5,3,-1.5164913829775826,-67875.0,1.5398429689125261,-1.5164913829775826,-67875.0,-1.5164913829775826,-67875.0,pass,
local-adapters,sqlite-sync,10000,build,clustered,5,3,-2.9195088848856394,-138791.0,3.0073074943798828,-2.9195088848856394,-138791.0,-2.9195088848856394,-138791.0,pass,
local-adapters,sqlite-sync,10000,build,random,5,3,-1.236418134132634,-61875.0,1.2518968133535708,-1.236418134132634,-61875.0,-1.236418134132634,-61875.0,pass,
local-adapters,sqlite-sync,10000,diff,append,5,3,11.514285714285714,1209.0,-10.325390725083269,11.514285714285714,1209.0,11.514285714285714,1209.0,pass,
local-adapters,sqlite-sync,10000,diff,clustered,5,3,8.846773013317723,1209.0,-8.127731092436994,8.846773013317723,1209.0,8.846773013317723,1209.0,pass,
local-adapters,sqlite-sync,10000,diff,random,5,3,-3.572044633152315,-34375.0,3.7043662489398907,-3.572044633152315,-34375.0,-3.572044633152315,-34375.0,pass,
local-adapters,sqlite-sync,10000,merge,append,5,3,-5.054426783273336,-14125.0,5.323499150124572,-5.054426783273336,-14125.0,-5.054426783273336,-14125.0,pass,
local-adapters,sqlite-sync,10000,merge,clustered,5,3,-2.0593023255813954,-3542.0,2.1026012418525717,-2.0593023255813954,-3542.0,-2.0593023255813954,-3542.0,pass,
local-adapters,sqlite-sync,10000,merge,random,5,3,2.966233794156221,99333.0,-2.880783034257731,2.966233794156221,99333.0,2.966233794156221,99333.0,pass,
