implementation,revision,contract_version,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,repetition,peak_rss_bytes
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,append,point_read,65000,26072792,401.120,2493020.310,3c499f1c4facc286,65000,true,1,65814528
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,append,range_scan,65000,1533917,23.599,42375174.146,3c499f1c4facc286,65000,true,1,65814528
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,append,write,15000,3771041,251.403,3977681.494,3c499f1c4facc286,65000,true,1,30064640
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,append,point_read,65000,6657541,102.424,9763364.582,3c499f1c4facc286,65000,true,1,30064640
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,append,range_scan,65000,284000,4.369,228873239.437,3c499f1c4facc286,65000,true,1,30064640
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,random,write,15000,20130542,1342.036,745136.420,fe19475bee4bebd1,57500,true,1,65765376
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,random,point_read,65000,28407417,437.037,2288134.821,fe19475bee4bebd1,57500,true,1,65765376
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,random,range_scan,57500,1198541,20.844,47974996.266,fe19475bee4bebd1,57500,true,1,65765376
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,random,write,15000,26116708,1741.114,574344.975,fe19475bee4bebd1,57500,true,1,53854208
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,random,point_read,65000,10940958,168.322,5940978.843,fe19475bee4bebd1,57500,true,1,53854208
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,random,range_scan,57500,252166,4.385,228024396.628,fe19475bee4bebd1,57500,true,1,53854208
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,clustered,write,15000,7539500,502.633,1989521.852,3f4faf6738a21a14,57500,true,1,34324480
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,clustered,point_read,65000,6455083,99.309,10069583.923,3f4faf6738a21a14,57500,true,1,34324480
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,mutation,clustered,range_scan,57500,263416,4.581,218285905.184,3f4faf6738a21a14,57500,true,1,34324480
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,clustered,write,15000,11363583,757.572,1320006.199,3f4faf6738a21a14,57500,true,1,65568768
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,clustered,point_read,65000,24574750,378.073,2644991.302,3f4faf6738a21a14,57500,true,1,65568768
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,clustered,range_scan,57500,1300334,22.615,44219408.244,3f4faf6738a21a14,57500,true,1,65568768
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,append,write,50000,33309125,666.183,1501090.167,bd7b883b605f8118,50000,true,2,73809920
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,append,point_read,50000,22581334,451.627,2214218.168,bd7b883b605f8118,50000,true,2,73809920
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,append,range_scan,50000,1105417,22.108,45231799.402,bd7b883b605f8118,50000,true,2,73809920
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,append,write,50000,14999416,299.988,3333463.116,bd7b883b605f8118,50000,true,2,22691840
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,append,point_read,50000,8857125,177.143,5645172.672,bd7b883b605f8118,50000,true,2,22691840
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,append,range_scan,50000,239708,4.794,208587114.322,bd7b883b605f8118,50000,true,2,22691840
