implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,full_diff,compare,1,2750,2750.000,363636.364,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,2,38518784
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,range_diff,compare,1,2083,2083.000,480076.812,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,2,38518784
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,patch_generate,compare,1,2958,2958.000,338066.261,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,2,38518784
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,patch_apply,compare,1,291,291.000,3436426.117,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,2,38518784
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,0,none,merge_noop,noop,1,60917,60917.000,16415.779,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,2,38518784
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,full_diff,compare,100,9542,95.420,10479983.232,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,2,8585216
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,range_diff,compare,100,15417,154.170,6486346.241,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,2,8585216
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,patch_generate,compare,100,11375,113.750,8791208.791,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,2,8585216
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,patch_apply,compare,100,545167,5451.670,183430.032,bcf0e1ce13626c64,e8d07e41c6a1a16d,10100,10000,10100,0,true,2,8585216
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,merge_disjoint,disjoint,200,374208,1871.040,534462.117,edcdb03c7919243d,c1cc8449c9ec5d58,10200,10000,10200,0,true,2,8585216
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,merge_convergent,convergent,100,208,2.080,480769230.769,c99b4e73829984b1,e8d07e41c6a1a16d,10100,10000,10100,0,true,2,8585216
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,append,merge_conflict,conflict,100,280708,2807.080,356242.074,5c7a9a698a610e3f,e8d07e41c6a1a16d,10100,10000,10100,100,true,2,8585216
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,full_diff,compare,100,21500,215.000,4651162.791,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,2,45973504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,range_diff,compare,100,23417,234.170,4270401.845,bcf0e1ce13626c64,969205edbc84711f,100,10000,10100,0,true,2,45973504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,patch_generate,compare,100,4417,44.170,22639800.770,bcf0e1ce13626c64,969205edbc84711f,1,10000,10100,0,true,2,45973504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,patch_apply,compare,100,28375,283.750,3524229.075,bcf0e1ce13626c64,e8d07e41c6a1a16d,10100,10000,10100,0,true,2,45973504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,merge_disjoint,disjoint,200,141042,705.210,1418017.328,edcdb03c7919243d,c1cc8449c9ec5d58,10200,10000,10200,0,true,2,45973504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,merge_convergent,convergent,100,17000,170.000,5882352.941,c99b4e73829984b1,e8d07e41c6a1a16d,10100,10000,10100,0,true,2,45973504
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,1,append,merge_conflict,conflict,100,108792,1087.920,919185.234,5c7a9a698a610e3f,e8d07e41c6a1a16d,10100,10000,10100,100,true,2,45973504
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,full_diff,compare,100,185625,1856.250,538720.539,3bae344635e9026c,758ca369a1de145c,100,10000,10000,0,true,2,17350656
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,1,random,range_diff,compare,11,22542,2049.273,487977.997,3bae344635e9026c,fb35b023c4ac3f80,11,10000,10000,0,true,2,17350656
