suite,revision_role,pair,schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso,baseline,3,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,random,100,100,25862083,3866.6645683566944,146875,248792,5336000,12114583,483328,67166072,10000,10000,true,
sqlite-turso,candidate,3,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,random,100,100,25375708,3940.7767460123673,146667,254500,6771833,12770542,483328,67166072,10000,10000,true,
sqlite-turso,baseline,3,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,clustered,100,100,15362708,6509.269068968831,72375,143583,336958,12045166,483328,35786616,10000,10000,true,
sqlite-turso,candidate,3,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,clustered,100,100,14847542,6735.12154402392,69667,141833,460583,10560416,483328,35786616,10000,10000,true,
sqlite-turso,baseline,3,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,append,100,100,171375,583515.6819839533,171375,325625,1575292,1575292,483328,1612048,10100,10100,true,
sqlite-turso,candidate,3,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,append,100,100,179500,557103.0640668523,179500,326375,1316792,1316792,483328,1612048,10100,10100,true,
sqlite-turso,baseline,3,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,random,100,100,4022375,24860.93414960067,4022375,10274375,10817667,10817667,483328,17017216,10000,10000,true,
sqlite-turso,candidate,3,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,random,100,100,3841625,26030.65109166043,3841625,10177417,10677833,10677833,483328,17017216,10000,10000,true,
sqlite-turso,baseline,3,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,batch,clustered,100,100,420208,237977.3826295549,420208,1780000,3666875,3666875,483328,2778008,10000,10000,true,
sqlite-turso,candidate,3,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,batch,clustered,100,100,375292,266459.1837822282,375292,1838625,2310458,2310458,483328,2778008,10000,10000,true,
