suite,revision_role,pair,revision,facade,api,records,items_per_sample,samples,median_ns,p95_ns,throughput_items_per_sec,publication_calls,request_allocations,root
foundation,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,range-delete,10000,100,300,385125,444333,259655.956,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,range-delete,10000,100,300,388542,443292,257372.433,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,forward,10000,1024,300,75375,91167,13585406.302,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,forward,10000,1024,300,75334,90333,13592800.064,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,baseline,2,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,forward,10000,1024,300,75334,90958,13592800.064,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,put,10000,1,300,33917,40583,29483.740,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,put,10000,1,300,241166,271958,4146.521,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,put,10000,1,300,269667,333625,3708.277,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,delete,10000,1,300,22667,31083,44116.998,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,delete,10000,1,300,120666,163292,8287.339,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
