config_hash,records,value_bytes,clients,pool_size,operation,tenant_class,attempted,completed,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,conflict_rate,retry_rate,error_rate,pg_statements_per_cell_operation,pg_wal_bytes_per_cell_operation,prolly_nodes_read_per_operation,prolly_nodes_written_per_operation,prolly_batch_reads_per_operation
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,point_read,hot,194,194,9.475181480708954,44138495,66027519,73138175,82378751,82378751,0.0,0.0,0.0,20.281663516068054,626852.6086956522,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,point_read,independent,812,812,39.659007022348824,44564479,65863679,77529087,92733439,92733439,0.0,0.0,0.0,20.281663516068054,626852.6086956522,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,commit,hot,87,36,1.7019504300444308,2858418175,3458203647,3823108095,3823108095,3823108095,0.8849840255591054,2.5977011494252875,0.0,20.169468728984533,697090.6213853396,108.80555555555556,204.36111111111111,108.80555555555556
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,commit,independent,311,311,14.702960659550499,1491075071,2315255807,2948595711,3271557119,3271557119,0.27674418604651163,0.38263665594855306,0.0,20.169468728984533,697090.6213853396,28.093247588424436,32.52411575562701,28.093247588424436
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,diff,hot,5,5,0.2363820041728376,319815679,553648127,553648127,553648127,553648127,0.0,0.0,0.0,20.169468728984533,697090.6213853396,42.8,0.0,13.8
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,diff,independent,154,154,7.280565728523398,464519167,667418623,825753599,888143871,888143871,0.0,0.0,0.0,20.169468728984533,697090.6213853396,70.35064935064935,0.0,20.337662337662337
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,merge,hot,45,0,0.0,2287992831,2629828607,2701131775,2701131775,2701131775,1.0,0.0,0.0,20.169468728984533,697090.6213853396,inf,inf,inf
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,merge,independent,35,24,1.1346336200296205,2321547263,2856321023,2868903935,2868903935,2868903935,0.3142857142857143,0.0,0.0,20.169468728984533,697090.6213853396,61.208333333333336,64.375,61.208333333333336
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,multi_read,hot,45,45,2.1274380375555384,866648063,1011351551,1214251007,1214251007,1214251007,0.0,0.0,0.0,20.169468728984533,697090.6213853396,40.111111111111114,0.0,17.68888888888889
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,multi_read,independent,194,194,9.1716217619061,874512383,1018691583,1194328063,1201668095,1201668095,0.0,0.0,0.0,20.169468728984533,697090.6213853396,40.19072164948454,0.0,17.65463917525773
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,point_read,hot,138,138,6.524143315170318,181010431,217972735,235143167,427294719,427294719,0.0,0.0,0.0,20.169468728984533,697090.6213853396,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,8,point_read,independent,580,580,27.420312484049163,180486143,223215615,242483199,435683327,435683327,0.0,0.0,0.0,20.169468728984533,697090.6213853396,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,commit,hot,121,48,2.298810348283956,2110783487,2548039679,2646605823,2738880511,2738880511,0.8926174496644296,2.6942148760330578,0.0,20.933170731707317,697265.1741463415,115.5,219.5625,115.5
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,commit,independent,430,430,20.59350937004377,1051197439,1635778559,1936719871,2304770047,2304770047,0.2797319932998325,0.3883720930232558,0.0,20.933170731707317,697265.1741463415,28.132558139534883,32.7,28.132558139534883
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,diff,hot,5,5,0.23945941127957873,244580351,443809791,443809791,443809791,443809791,0.0,0.0,0.0,20.933170731707317,697265.1741463415,44.4,0.0,11.6
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,diff,independent,215,215,10.296754685021885,412614655,622329855,747110399,829423615,829423615,0.0,0.0,0.0,20.933170731707317,697265.1741463415,87.89767441860465,0.0,26.451162790697673
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,merge,hot,62,0,0.0,1605369855,1853882367,2021654527,2021654527,2021654527,1.0,0.0,0.0,20.933170731707317,697265.1741463415,inf,inf,inf
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,merge,independent,48,30,1.4367564676774722,1637875711,2014314495,2116026367,2116026367,2116026367,0.375,0.0,0.0,20.933170731707317,697265.1741463415,67.2,70.66666666666667,67.2
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,multi_read,hot,63,63,3.017188582122692,618659839,738197503,957349887,957349887,957349887,0.0,0.0,0.0,20.933170731707317,697265.1741463415,40.25396825396825,0.0,17.6984126984127
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,multi_read,independent,267,267,12.787132562329504,612892671,731381759,895483903,919076863,919076863,0.0,0.0,0.0,20.933170731707317,697265.1741463415,40.258426966292134,0.0,17.65917602996255
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,point_read,hot,191,191,9.147349510879907,113770495,148635647,183500799,184680447,184680447,0.0,0.0,0.0,20.933170731707317,697265.1741463415,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,64,32,point_read,independent,801,801,38.36139768698851,112918527,146800639,169345023,464519167,464519167,0.0,0.0,0.0,20.933170731707317,697265.1741463415,3.0,0.0,0.0
